"title","genre","runtime","mpaa_rating","thtr_rel_year","thtr_rel_month","thtr_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_score"
"Apollo 18","Science Fiction & Fantasy",86,"PG-13",2011,9,2,5.2,46233,"Rotten",24,23
"Total Eclipse","Art House & International",111,"R",1995,11,3,6.5,9980,"Rotten",25,61
"Hoodlum","Drama",130,"R",1997,8,27,6.2,8016,"Rotten",45,66
"National Security","Drama",88,"PG-13",2003,1,17,5.6,37938,"Rotten",11,45
"Down in the Valley","Other",108,"R",2006,5,5,6.5,16480,"Rotten",52,54
"Young Adult","Drama",94,"R",2011,12,16,6.3,63219,"Certified Fresh",80,49
"The Man Who Sued God","Drama",97,"R",2001,10,25,6.5,4251,"Fresh",71,59
"Compliance","Drama",90,"R",2012,8,17,6.4,23697,"Certified Fresh",89,60
"I Spit On Your Grave","Horror",108,"R",2010,10,8,6.3,53675,"Rotten",34,48
"Maniac","Drama",87,"R",1980,1,1,6.5,9787,"Rotten",43,58
"Dog Park","Comedy",91,"R",1998,6,1,5.1,1978,"Rotten",36,28
"The Brothers Solomon","Comedy",93,"R",2007,9,7,5.3,9370,"Rotten",15,31
"Maurice","Drama",140,"R",1987,9,1,7.8,10380,"Fresh",91,87
"The Last Boy Scout","Drama",105,"R",1991,12,13,6.9,73280,"Rotten",42,68
"Alligator","Science Fiction & Fantasy",91,"R",1980,1,1,5.9,7656,"Fresh",67,47
"Jennifer 8","Mystery & Suspense",124,"R",1992,11,6,6.2,11855,"Rotten",39,37
"RoboCop","Drama",102,"R",1987,7,17,7.5,172765,"Certified Fresh",88,83
"The Football Factory","Documentary",91,"R",2004,5,14,6.9,23201,"Rotten",20,84
"Bamboozled","Drama",135,"R",2000,10,6,6.4,8604,"Rotten",48,74
"The Sure Thing","Comedy",100,"PG-13",1985,3,1,7,14949,"Fresh",87,79
"The Slaughter Rule","Drama",112,"R",2002,1,11,6.1,1995,"Fresh",73,44
"Rise of the Footsoldier","Action & Adventure",119,"R",2007,9,7,6.9,15806,"Rotten",14,84
"Hollywood Homicide","Action & Adventure",116,"PG-13",2003,6,13,5.3,30694,"Rotten",30,27
"Morning Glory","Comedy",107,"PG-13",2010,11,10,6.5,56888,"Rotten",56,51
"11'09''01 - September 11","Drama",134,"Unrated",2002,9,11,7,4821,"Certified Fresh",78,64
"Clownhouse","Horror",81,"R",1989,6,1,5.8,3145,"Rotten",40,41
"Rampart","Drama",108,"R",2012,2,10,5.8,19115,"Certified Fresh",74,35
"Cashback","Drama",102,"R",2007,4,20,7.2,70994,"Rotten",46,78
"The Host","Drama",120,"R",2007,3,9,7,66233,"Certified Fresh",92,72
"Aspen Extreme","Drama",113,"PG-13",1993,1,22,5.8,2295,"Rotten",22,66
"Nomads","Drama",91,"R",1986,3,7,5.5,2698,"Rotten",13,37
"Deconstructing Harry","Comedy",96,"R",1997,12,12,7.4,34652,"Fresh",71,82
"The End of America","Documentary",NA,"Unrated",2008,10,1,7.5,739,"Fresh",80,72
"Hot Shots! Part Deux","Action & Adventure",86,"PG-13",1993,5,21,6.6,64489,"Rotten",59,63
"Control","Musical & Performing Arts",122,"R",2007,5,17,7.8,49985,"Certified Fresh",87,89
"Lassie","Action & Adventure",94,"PG",1994,7,22,5.8,3649,"Fresh",87,56
"What Richard Did","Drama",88,"Unrated",2013,5,10,6.3,3359,"Fresh",93,62
"Emperor","Mystery & Suspense",105,"PG-13",2013,3,8,6.5,10020,"Rotten",31,46
"Hereafter","Mystery & Suspense",129,"PG-13",2010,10,22,6.5,78726,"Rotten",46,38
"Aladdin","Action & Adventure",90,"G",1992,11,11,8,246907,"Certified Fresh",94,92
"The King of Comedy","Drama",109,"PG",1983,1,1,7.8,49374,"Certified Fresh",89,89
"Bound","Mystery & Suspense",108,"R",1996,10,4,7.4,40001,"Fresh",92,82
"The Pact","Horror",89,"R",2012,7,6,5.8,18670,"Fresh",65,41
"Electric Dreams","Drama",95,"PG",1984,7,20,6.5,5149,"Rotten",47,72
"Bull Durham","Drama",108,"R",1988,6,15,7.1,35577,"Certified Fresh",97,83
"Man on Wire","Documentary",94,"PG-13",2008,1,22,7.9,38076,"Certified Fresh",100,87
"Epic Movie","Action & Adventure",86,"R",2007,1,26,2.3,87652,"Rotten",2,29
"Below","Mystery & Suspense",105,"R",2002,10,11,6.2,17329,"Fresh",63,45
"The Captive","Mystery & Suspense",112,"R",2014,12,9,5.9,16511,"Rotten",31,34
"The Saddest Music in the World","Drama",100,"R",2004,4,30,7.2,5002,"Certified Fresh",78,79
"The Godfather, Part II","Mystery & Suspense",202,"R",1974,12,20,9,749783,"Certified Fresh",97,97
"Phantom of the Paradise","Horror",92,"PG",1974,10,31,7.4,10599,"Fresh",95,84
"Twenty Bucks","Drama",91,"R",1993,1,1,6.4,3101,"Fresh",75,63
"Alaska","Action & Adventure",109,"PG",1996,8,14,5.7,4180,"Rotten",18,44
"Running on Empty","Musical & Performing Arts",116,"PG-13",1988,9,7,7.7,9904,"Fresh",85,68
"Godzilla Vs Mechagodzilla","Art House & International",84,"PG",1974,3,21,6.3,3428,"Fresh",67,61
"49 Up","Documentary",180,"Unrated",2006,10,6,8.2,2056,"Certified Fresh",95,86
"This is 40","Comedy",134,"R",2012,12,21,6.2,100447,"Rotten",51,50
"Fair Game","Drama",108,"PG-13",2010,11,5,6.8,37506,"Certified Fresh",79,65
"Hercules","Action & Adventure",98,"PG-13",2014,7,25,6,109633,"Fresh",60,49
"Max Manus: Man of War","Drama",118,"Unrated",2010,9,3,7.3,21443,"Fresh",80,83
"Curdled","Drama",88,"R",1996,9,6,5.9,4031,"Rotten",17,57
"The Omen","Mystery & Suspense",110,"R",2006,6,6,5.5,47692,"Rotten",27,40
"A Night at the Roxbury","Comedy",82,"PG-13",1998,10,2,6.2,47343,"Rotten",11,69
"Tank Girl","Action & Adventure",104,"R",1995,3,1,5.2,24084,"Rotten",38,63
"Missing","Mystery & Suspense",122,"PG",1982,2,12,7.8,13215,"Fresh",96,85
"Point Break","Mystery & Suspense",122,"R",1991,7,12,7.2,105982,"Fresh",68,79
"Shall We Dance","Drama",106,"PG-13",2004,10,15,6.1,34461,"Rotten",46,57
"Malibu's Most Wanted","Comedy",86,"PG-13",2003,4,18,5.1,15714,"Rotten",31,53
"The Evening Star","Drama",129,"PG-13",1996,6,1,5.8,3358,"Rotten",23,65
"Cloud Atlas","Drama",172,"R",2012,10,26,7.5,275125,"Fresh",66,66
"Fire Down Below","Action & Adventure",105,"R",1997,9,5,4.9,13280,"Rotten",11,35
"The Five Heartbeats","Musical & Performing Arts",121,"R",1991,3,29,7.5,2551,"Rotten",38,95
"Porky's Revenge","Art House & International",92,"R",1985,3,22,4.6,5863,"Rotten",27,33
"Disaster Movie","Comedy",87,"PG-13",2008,8,29,1.9,73219,"Rotten",1,19
"Teen Wolf Too","Science Fiction & Fantasy",95,"PG",1987,11,20,3.1,8319,"Rotten",7,17
"The Fighter","Other",116,"R",2010,12,10,7.9,265725,"Certified Fresh",90,89
"A Little Romance","Drama",110,"PG",1979,4,27,7.5,3859,"Fresh",72,86
"First Knight","Drama",134,"PG-13",1995,7,7,5.9,53535,"Rotten",47,55
"Tabloid","Documentary",87,"R",2011,7,15,7.1,4907,"Certified Fresh",91,72
"The Hurt Locker","Drama",131,"R",2009,6,26,7.6,318019,"Certified Fresh",98,84
"Benda Bilili!","Documentary",85,"PG-13",2011,9,30,7.5,679,"Fresh",93,82
"Memento","Mystery & Suspense",113,"R",2000,9,5,8.5,806911,"Certified Fresh",92,94
"A Prayer for the Dying","Drama",107,"R",1987,9,1,6.4,3342,"Fresh",63,55
"Jonestown: The Life and Death of Peoples Temple","Documentary",86,"Unrated",2006,10,20,7.9,3649,"Certified Fresh",94,88
"So I Married an Axe Murderer","Comedy",93,"PG-13",1993,7,30,6.4,27417,"Rotten",55,68
"Ziggy Stardust and the Spiders from Mars","Documentary",90,"PG",1973,12,1,7.5,1815,"Fresh",71,89
"Conversations With Other Women","Drama",84,"R",2006,8,11,7.1,9939,"Fresh",74,76
"Sleepwalking","Drama",101,"R",2008,1,22,6.2,4857,"Rotten",17,43
"Next Stop, Greenwich Village","Drama",111,"R",1976,2,4,6.9,1428,"Fresh",73,62
"Dream House","Mystery & Suspense",92,"PG-13",2011,9,30,5.9,44248,"Rotten",6,36
"Resurrecting the Champ","Drama",112,"PG-13",2007,8,24,6.8,18141,"Fresh",60,60
"The Help","Drama",146,"PG-13",2011,8,10,8.1,303529,"Certified Fresh",76,89
"A Scanner Darkly","Drama",100,"R",2006,7,28,7.1,86953,"Fresh",69,74
"Hard Candy","Drama",104,"R",2006,4,14,7.1,128361,"Fresh",68,78
"This Is the End","Drama",107,"R",2013,6,12,6.7,297034,"Certified Fresh",83,71
"Longtime Companion","Drama",96,"R",1990,5,11,7.6,4143,"Fresh",100,82
"The Last Lions","Documentary",88,"PG",2011,2,18,8.4,3128,"Fresh",87,89
"Aguirre, der Zorn Gottes (Aguirre, the Wrath of God)","Drama",93,"R",1972,12,29,8,36909,"Fresh",98,91
"The Main Event","Other",112,"PG",1979,6,22,5.8,1816,"Rotten",38,44
"Inserts","Drama",117,"NC-17",1975,1,1,6.4,1043,"Fresh",80,56
"Star Trek: Insurrection","Action & Adventure",103,"PG",1998,12,11,6.4,54829,"Rotten",55,45
"Valmont","Drama",137,"R",1989,11,1,7,9725,"Rotten",54,70
"Kill Bill: Volume 2","Drama",137,"R",2004,4,16,8,490295,"Certified Fresh",84,89
"8 Heads in a Duffel Bag","Comedy",95,"R",1997,4,18,5.2,7881,"Rotten",11,35
"Meteor","Drama",108,"PG",1979,10,19,4.9,5136,"Rotten",5,13
"Dance Flick","Action & Adventure",83,"PG-13",2009,5,22,3.5,10055,"Rotten",18,30
"Stolen Summer","Drama",91,"PG",2002,3,22,6.5,2408,"Rotten",36,68
"1941","Action & Adventure",118,"PG",1979,12,14,5.9,24472,"Rotten",32,49
"Underworld: The Rise of the Lycans","Action & Adventure",92,"R",2009,1,23,6.6,115026,"Rotten",29,63
"After Innocence","Documentary",95,"Unrated",2005,10,21,7.8,651,"Certified Fresh",91,81
"Tim and Eric's Billion Dollar Movie","Comedy",93,"R",2012,3,2,5.3,7710,"Rotten",38,47
"Mr. Jones","Drama",114,"R",1993,10,8,5.7,5425,"Rotten",46,51
"Goin' South","Other",105,"PG",1978,1,1,6.3,4550,"Fresh",71,50
"Russian Dolls (Les Poupees Russes)","Other",125,"Unrated",2006,5,10,7,16262,"Fresh",72,78
"My Flesh and Blood","Documentary",83,"Unrated",2003,11,28,8.4,1571,"Fresh",90,93
"Revenge of the Nerds II: Nerds in Paradise","Comedy",88,"PG-13",1987,7,10,4.9,10271,"Rotten",8,35
"Hulk","Action & Adventure",138,"PG-13",2003,6,20,5.7,204042,"Fresh",61,29
"Vampire in Brooklyn","Horror",100,"R",1995,10,27,4.5,16824,"Rotten",10,31
"George Washington","Art House & International",89,"Unrated",2000,10,27,7.5,6061,"Certified Fresh",84,85
"Agent Cody Banks 2: Destination London","Action & Adventure",100,"PG",2004,3,12,4.5,10651,"Rotten",13,31
"Into The Arms Of Strangers - Stories Of The Kindertransport","Documentary",122,"PG",2000,9,15,7.9,1346,"Fresh",94,85
"The Take","Drama",96,"R",2007,4,11,5.8,1886,"Fresh",85,49
"A Star is Born","Drama",139,"R",1976,12,17,6.5,4874,"Rotten",31,69
"The Belly of an Architect","Drama",119,"R",1987,1,1,7,4121,"Fresh",91,80
"Veronica Mars","Drama",107,"PG-13",2014,3,14,6.8,40133,"Certified Fresh",78,79
"Kaena: The Prophecy","Action & Adventure",85,"PG-13",2004,7,9,6.2,3416,"Rotten",7,43
"Ghost Ship","Horror",91,"R",2002,10,25,5.5,73617,"Rotten",14,37
"21 Grams","Drama",124,"R",2003,11,21,7.7,183747,"Certified Fresh",80,86
"Date Night","Comedy",88,"PG-13",2010,4,9,6.3,123588,"Fresh",67,55
"Anchorman 2: The Legend Continues","Comedy",119,"PG-13",2013,12,18,6.3,124250,"Certified Fresh",75,52
"Thunderheart","Drama",119,"R",1992,4,1,6.8,11103,"Fresh",87,75
"Guess Who","Comedy",105,"PG-13",2005,3,25,5.9,33040,"Rotten",43,49
"Brubaker","Drama",131,"R",1980,6,20,7.1,11236,"Fresh",75,74
"Jagged Edge","Mystery & Suspense",108,"R",1985,10,4,6.4,9946,"Fresh",82,58
"The Last Remake of Beau Geste","Action & Adventure",85,"PG",1977,7,15,6,1680,"Rotten",33,65
"Melancholia","Drama",130,"R",2011,11,11,7.1,122980,"Certified Fresh",79,67
"Boomerang","Comedy",117,"R",1992,7,1,5.4,19603,"Rotten",40,60
"The Ritz","Art House & International",91,"R",1976,1,1,7.8,1663,"Rotten",40,83
"The Man with the Golden Gun","Drama",125,"PG",1974,12,18,6.8,71141,"Rotten",45,57
"Hellraiser - Bloodline","Science Fiction & Fantasy",85,"R",1996,3,8,5,13790,"Rotten",25,37
"The Butcher's Wife","Other",107,"PG-13",1991,10,25,5.3,5374,"Rotten",21,29
"Diner","Drama",110,"R",1982,4,2,7.2,14589,"Fresh",91,78
"Cecil B. Demented","Comedy",87,"R",2000,8,11,6.2,11259,"Rotten",53,67
"Ragtime","Drama",155,"PG",1981,11,20,7.3,6472,"Fresh",90,76
"One Day","Drama",107,"PG-13",2011,8,19,7,100416,"Rotten",36,49
"Rambling Rose","Drama",112,"R",1991,9,10,6.7,3866,"Fresh",100,51
"Cameraman: The Life And Work Of Jack Cardiff","Documentary",86,"Unrated",2011,5,13,7.8,872,"Fresh",96,92
"I Am Bruce Lee","Documentary",94,"Unrated",2012,2,9,7.5,2928,"Fresh",67,78
"Let It Be","Documentary",81,"G",1970,5,20,7.9,3887,"Fresh",82,87
"The Groove Tube","Other",75,"R",1974,1,1,5.9,1607,"Rotten",13,60
"Brighton Rock","Mystery & Suspense",111,"R",2011,8,26,5.8,4904,"Rotten",51,32
"The Disappearance of Alice Creed","Mystery & Suspense",96,"R",2010,8,6,6.8,19937,"Certified Fresh",82,67
"Sgt. Bilko","Comedy",93,"PG",1996,3,29,5.7,17384,"Rotten",32,47
"One Night at McCool's","Comedy",93,"R",2001,4,27,6.1,25683,"Rotten",33,39
"V.I. Warshawski","Drama",89,"R",1991,7,26,4.8,3883,"Rotten",17,24
"Glory","Drama",122,"R",1989,12,15,7.9,99582,"Certified Fresh",93,93
"Carnosaur","Horror",83,"R",1993,5,21,3.4,2959,"Rotten",11,24
"The Ninth Gate","Mystery & Suspense",133,"R",1999,12,24,6.7,134031,"Rotten",41,57
"New York Minute","Action & Adventure",91,"PG",2004,5,7,4.8,17190,"Rotten",11,47
"Blue Valentine","Drama",112,"R",2010,12,29,7.4,135840,"Certified Fresh",88,77
"The Jazz Singer","Musical & Performing Arts",115,"PG",1980,12,19,5.7,2897,"Rotten",15,72
"The Other Sister","Drama",129,"PG-13",1999,2,26,6.4,10126,"Rotten",29,72
"The Astronaut Farmer","Drama",104,"PG",2006,10,15,6.3,19383,"Rotten",57,49
"Modigliani","Art House & International",128,"R",2004,9,24,7.4,8030,"Rotten",4,78
"Inbred","Art House & International",90,"R",2011,8,29,5.3,3461,"Rotten",13,29
"Pooh's Heffalump Movie","Animation",68,"G",2005,2,11,6.4,3970,"Certified Fresh",79,70
"Good Will Hunting","Drama",126,"R",1997,12,5,8.3,572236,"Certified Fresh",97,94
"Town & Country","Drama",104,"R",2000,9,1,4.3,4072,"Rotten",13,14
"Happy Feet","Animation",108,"PG",2006,11,17,6.5,126257,"Certified Fresh",75,70
"Deck the Halls","Comedy",93,"PG",2006,11,22,4.9,15491,"Rotten",6,30
"Simone","Drama",117,"PG-13",2002,8,23,6.1,51070,"Rotten",51,35
"The Adjuster","Drama",102,"R",1992,5,29,6.8,2530,"Fresh",73,73
"Turistas (Paradise Lost)","Drama",93,"R",2006,12,1,5.3,30495,"Rotten",16,28
"New In Town","Comedy",97,"PG",2009,1,30,5.6,16955,"Rotten",29,37
"The Prestige","Drama",130,"PG-13",2006,10,20,8.5,797101,"Certified Fresh",76,92
"Waist Deep","Drama",97,"R",2006,6,23,5.9,8059,"Rotten",27,76
"The Science of Sleep","Drama",105,"R",2006,6,18,7.3,60483,"Fresh",71,81
"Gracie","Drama",95,"PG-13",2007,6,1,6.2,3602,"Fresh",60,58
"See No Evil, Hear No Evil","Action & Adventure",103,"R",1989,5,12,6.8,34802,"Rotten",18,72
"The Safety of Objects","Mystery & Suspense",121,"R",2001,1,1,6.6,3730,"Rotten",49,66
"Dumb and Dumberer: When Harry Met Lloyd","Comedy",85,"PG-13",2003,6,13,3.4,30085,"Rotten",10,23
"The Little Rascals","Comedy",82,"PG",1994,8,5,6.3,32737,"Rotten",25,70
"Moonstruck","Drama",102,"PG",1987,12,18,7.1,34307,"Certified Fresh",92,81
"World Trade Center","Drama",129,"PG-13",2006,8,9,6,66171,"Fresh",68,60
"The Portrait of a Lady","Drama",144,"PG-13",1996,12,24,6.3,8685,"Rotten",43,52
"The Postman","Action & Adventure",177,"R",1997,12,25,5.9,54597,"Rotten",9,49
"Mixed Nuts","Comedy",97,"PG-13",1994,12,21,5.3,7862,"Rotten",7,46
"While You Were Sleeping","Drama",103,"PG",1995,4,21,6.6,68871,"Certified Fresh",80,79
"No Country for Old Men","Drama",122,"R",2007,11,21,8.1,582091,"Certified Fresh",93,86
"Pootie Tang","Comedy",81,"PG-13",2001,6,29,5.1,11156,"Rotten",29,63
"Sans Soleil","Documentary",100,"R",1983,2,1,8.2,6345,"Fresh",92,88
"The Secret Life of Words","Art House & International",115,"Unrated",2006,12,22,7.5,9990,"Fresh",71,86
"Dare","Drama",92,"R",2009,11,13,5.9,3473,"Fresh",60,34
"Formula 51","Action & Adventure",93,"R",2002,10,18,6.3,42295,"Rotten",25,59
"The Fifth Element","Drama",126,"PG-13",1997,5,9,7.6,329613,"Fresh",71,87
"The Frozen Ground","Mystery & Suspense",105,"R",2013,8,23,6.4,42408,"Fresh",60,50
"Ice Age: Continental Drift","Action & Adventure",88,"PG",2012,7,13,6.7,137222,"Rotten",37,62
"Showtime","Comedy",95,"PG-13",2002,3,15,5.5,51366,"Rotten",25,25
"The Greatest Game Ever Played","Drama",120,"PG",2005,9,30,7.5,21623,"Fresh",63,82
"Grizzly Man","Documentary",103,"R",2005,8,12,7.8,39320,"Certified Fresh",93,85
"Galaxina","Science Fiction & Fantasy",95,"R",1980,6,6,3.4,1915,"Rotten",17,26
"Oh, God! Book II","Comedy",94,"PG",1980,10,3,5.1,1674,"Rotten",50,38
"Micki + Maude","Comedy",118,"PG-13",1984,12,21,5.9,2096,"Fresh",67,45
"Bootmen","Drama",95,"R",2000,10,6,6.2,1935,"Rotten",35,70
"My Dinner with Andre","Drama",110,"PG",1981,10,11,7.8,10522,"Fresh",91,86
"Mother's Boys","Mystery & Suspense",96,"R",1993,1,1,5.4,2380,"Rotten",43,28
"Robin Hood","Action & Adventure",83,"G",1973,11,8,7.6,78862,"Rotten",50,81
"Ghost Rider: Spirit of Vengeance","Action & Adventure",96,"PG-13",2012,2,17,4.3,83724,"Rotten",17,32
"Naked Lunch","Drama",115,"R",1991,12,27,7.1,34298,"Fresh",71,77
"Theremin: An Electronic Odyssey","Documentary",83,"PG",1994,1,29,7.4,830,"Fresh",100,72
"The Whole Wide World","Drama",111,"PG",1996,12,1,7.3,2869,"Fresh",81,72
"Hostel","Horror",94,"R",2006,1,6,5.9,134510,"Fresh",61,53
"Swordfish","Drama",99,"R",2001,6,8,6.5,152216,"Rotten",26,60
"Dark Skies","Mystery & Suspense",97,"PG-13",2013,2,22,6.3,54771,"Rotten",40,49
"The Distinguished Gentleman","Comedy",112,"R",1992,12,4,5.8,11838,"Rotten",13,36
"The Time Traveler's Wife","Drama",107,"PG-13",2009,8,14,7.1,110540,"Rotten",38,59
"Breathless","Drama",100,"R",1983,5,13,5.7,6343,"Fresh",67,49
"Love Actually","Comedy",135,"R",2003,11,7,7.7,309494,"Fresh",63,73
"Oh, God!","Science Fiction & Fantasy",98,"PG",1977,10,7,6.5,6909,"Fresh",72,59
"Bookies","Drama",88,"R",2004,9,1,6,1890,"Fresh",67,49
"Live and Let Die","Mystery & Suspense",121,"PG",1973,6,27,6.8,72176,"Fresh",66,65
"What's Cooking?","Drama",109,"PG-13",2000,1,20,7.1,2271,"Rotten",52,64
"The Funeral","Drama",99,"R",1996,11,1,6.6,6804,"Fresh",79,68
"Safe House","Mystery & Suspense",115,"R",2012,2,10,6.8,161101,"Rotten",53,64
"Welcome to Mooseport","Comedy",110,"PG-13",2004,2,20,5.2,10535,"Rotten",13,19
"Trainspotting","Drama",94,"R",1996,7,19,8.2,448434,"Certified Fresh",89,93
"I Wanna Hold Your Hand","Drama",104,"PG",1978,1,1,6.9,2931,"Fresh",83,76
"UHF","Other",97,"PG",1989,1,1,7,21009,"Fresh",63,77
"Lola Versus","Comedy",87,"R",2012,6,8,5.4,6811,"Rotten",35,31
"Countdown to Zero","Documentary",89,"PG",2010,7,23,6.9,1943,"Certified Fresh",81,72
"The Imposter","Documentary",99,"R",2012,7,13,7.5,32338,"Certified Fresh",95,78
"The Perfect Score","Drama",93,"PG-13",2004,1,30,5.7,19161,"Rotten",17,44
"A Perfect Getaway","Mystery & Suspense",98,"R",2009,8,7,6.5,54871,"Fresh",61,52
"Death Line (Raw Meat)","Horror",87,"R",1972,1,1,6,2433,"Fresh",86,44
"Things to Do in Denver...When You're Dead","Drama",115,"R",1995,12,1,6.8,21924,"Rotten",33,73
"Mad Max 2: The Road Warrior","Action & Adventure",95,"R",1981,12,24,7.6,128298,"Certified Fresh",98,85
"My Girl 2","Drama",99,"PG",1996,6,1,5.1,14559,"Rotten",27,46
"Candy","Drama",116,"R",2006,11,17,7.3,34926,"Rotten",49,77
"The Secret Garden","Drama",101,"G",1993,3,18,7.3,27097,"Certified Fresh",85,80
"Get on the Bus","Drama",120,"R",1996,10,16,6.8,4021,"Certified Fresh",88,71
"Ghosts of Abu Ghraib","Documentary",78,"Unrated",2007,6,1,8,764,"Fresh",100,91
"Punchline","Drama",128,"R",1988,9,30,5.8,6418,"Rotten",50,42
"Bridget Jones - The Edge of Reason","Drama",108,"R",2004,11,12,5.9,70737,"Rotten",27,61
"Code Name: The Cleaner","Action & Adventure",84,"PG-13",2007,1,5,4.5,9656,"Rotten",4,37
"Fast & Furious","Mystery & Suspense",107,"PG-13",2009,4,3,6.6,193702,"Rotten",28,67
"House of 1000 Corpses","Horror",89,"R",2003,4,11,6,59076,"Rotten",19,65
"What Women Want","Comedy",127,"PG-13",2001,5,1,6.4,154148,"Rotten",54,54
"River's Edge","Drama",99,"R",1987,5,8,7.1,11377,"Fresh",87,76
"The Babysitter","Mystery & Suspense",90,"R",1995,10,17,4.2,3302,"Rotten",17,15
"Saint of 9/11","Documentary",90,"Unrated",2006,9,6,7.8,180,"Fresh",84,79
"Black Death","Drama",102,"R",2011,3,11,6.4,34253,"Fresh",68,49
"Little Manhattan","Drama",84,"PG",2005,9,30,7.6,17960,"Fresh",77,86
"In Search of Beethoven","Musical & Performing Arts",139,"Unrated",2009,4,17,7.5,281,"Fresh",92,77
"Taps","Drama",126,"PG",1981,12,9,6.7,12498,"Fresh",75,67
"Planes, Trains and Automobiles","Comedy",93,"R",1987,11,25,7.6,86831,"Certified Fresh",94,87
"Mirrors","Mystery & Suspense",110,"R",2008,8,15,6.2,83424,"Rotten",14,44
"A Shot at Glory","Drama",114,"R",2001,6,8,6.3,1803,"Fresh",67,65
"Flipped","Drama",90,"PG",2010,8,6,7.7,56919,"Rotten",55,78
"Sweet Sixteen","Drama",106,"R",2003,5,16,7.5,10250,"Certified Fresh",97,87
"Cold Creek Manor","Mystery & Suspense",118,"R",2003,9,19,4.9,18005,"Rotten",12,22
"Snake Eyes","Drama",98,"R",1998,8,7,5.9,62773,"Rotten",40,35
"Croupier","Mystery & Suspense",94,"R",2000,4,21,7.2,15444,"Certified Fresh",98,80
"What About Bob?","Drama",99,"PG",1991,1,1,7,48756,"Fresh",83,79
"The Ex","Comedy",89,"PG-13",2007,5,11,5.6,14986,"Rotten",19,32
"A Haunted House 2","Comedy",86,"R",2014,4,18,4.7,13525,"Rotten",8,44
"Real Steel","Drama",127,"PG-13",2011,10,7,7.1,246343,"Fresh",60,73
"Wanted","Action & Adventure",110,"R",2008,6,12,6.7,290958,"Certified Fresh",72,69
"Thieves Like Us","Drama",123,"R",1974,2,11,7.1,3146,"Fresh",89,71
"In Dreams","Mystery & Suspense",100,"R",1999,1,15,5.5,10886,"Rotten",25,39
"Mallrats","Comedy",94,"R",1995,10,20,7.2,96471,"Rotten",55,82
"Medicine Man","Drama",106,"PG-13",1992,2,7,5.9,17101,"Rotten",20,46
"Sea Monsters: A Prehistoric Adventure","Documentary",40,"G",2007,10,5,7,723,"Fresh",100,68
"Ray","Drama",152,"PG-13",2004,10,29,7.7,106171,"Certified Fresh",81,87
"Coach Carter","Drama",136,"PG-13",2005,1,14,7.2,88777,"Fresh",65,85
"Training Day","Drama",122,"R",2001,10,5,7.7,294683,"Fresh",72,89
"Saturday Night Fever","Drama",118,"R",1977,12,19,6.8,51534,"Certified Fresh",88,71
"The Mother","Drama",112,"R",2004,5,28,6.9,3487,"Certified Fresh",77,62
"Under Fire","Mystery & Suspense",128,"R",1983,10,21,7.1,5115,"Fresh",88,68
"Hairspray","Drama",92,"PG",1988,2,26,6.9,15449,"Fresh",97,80
"Sweet Liberty","Comedy",106,"PG",1986,5,14,5.7,2181,"Fresh",75,34
"Urban Cowboy","Other",132,"PG",1980,6,6,6.2,9832,"Fresh",77,81
"Shooter","Drama",124,"R",2007,3,23,7.2,247105,"Rotten",48,80
"Crumb","Comedy",119,"R",1995,5,19,8,13614,"Certified Fresh",95,89
"Just Friends","Drama",96,"PG-13",2005,11,23,6.2,78297,"Rotten",42,72
"Over the Edge","Drama",95,"PG",1979,1,1,7.6,4369,"Fresh",89,86
"Operation Dumbo Drop","Comedy",107,"PG",1995,7,28,4.9,6765,"Rotten",31,29
"The Postman Always Rings Twice","Mystery & Suspense",122,"PG",1981,3,20,6.6,16137,"Fresh",83,59
"Monster","Drama",109,"R",2004,1,9,7.3,101850,"Certified Fresh",82,81
"Bright Leaves","Documentary",107,"Unrated",2004,8,25,7.1,504,"Certified Fresh",86,71
"Teenage Paparazzo","Documentary",94,"Unrated",2010,12,31,7.4,1935,"Fresh",100,94
"The Gauntlet","Mystery & Suspense",109,"R",1977,1,1,6.4,15116,"Fresh",82,54
"Jerry Maguire","Drama",139,"R",1996,12,13,7.3,183717,"Certified Fresh",85,79
"Felon","Drama",104,"R",2008,7,17,7.5,64873,"Rotten",59,82
"On Golden Pond","Drama",109,"PG",1981,12,4,7.7,20738,"Fresh",92,87
"Army of Darkness","Action & Adventure",81,"R",1993,2,19,7.6,123769,"Fresh",72,87
"Maverick","Other",127,"PG-13",1994,5,20,7,79866,"Fresh",67,71
"The Little Mermaid","Animation",83,"G",1989,1,1,7.6,160237,"Certified Fresh",92,88
"Astro Boy (AstroBoy)","Action & Adventure",94,"PG",2009,10,23,6.3,24595,"Rotten",49,50
"The Trip","Art House & International",112,"Unrated",2011,6,10,7,16883,"Certified Fresh",89,70
"Pete Seeger: The Power of Song","Documentary",93,"PG",2007,4,29,8.4,390,"Fresh",95,92
"Zombi 2","Horror",91,"R",1980,7,18,6.9,19539,"Rotten",42,70
"Jaws 2","Action & Adventure",116,"PG",1978,6,16,5.7,48718,"Rotten",53,38
"Maniac","Horror",89,"Unrated",2013,6,21,6.1,26301,"Rotten",49,44
"Velvet Goldmine","Musical & Performing Arts",124,"R",1998,11,6,7,26943,"Rotten",56,80
"Undertaking Betty","Drama",94,"PG-13",2003,1,1,6.7,4077,"Rotten",40,66
